,rating
686,8
687,7
688,7
689,7
690,7
691,8
692,7
693,6
694,8
695,6
696,8
697,7
698,8
699,7
700,4
701,8
702,5
703,6
704,8
705,9
706,6
707,8
708,5
709,5
710,8
711,7
712,8
713,7
714,4
715,7
716,7
717,7
718,9
719,8
720,6
721,6
722,6
723,8
724,3
725,8
726,7
727,8
728,9
729,8
730,5
731,7
732,5
733,5
734,10
735,5
736,7
737,8
738,9
739,7
740,7
741,10
742,7
743,7
744,7
745,7
746,6
747,6
748,7
749,6
750,9
751,6
752,6
753,7
754,7
755,9
756,7
757,9
758,7
759,10
760,7
761,6
762,8
763,8
764,5
765,2
766,7
767,7
768,6
769,6
770,9
771,5
772,7
773,8
774,8
775,8
776,7
777,8
778,5
779,7
780,8
781,7
782,8
783,7
784,6
785,4
786,8
787,9
788,8
789,7
790,8
791,8
792,7
793,7
794,5
795,7
796,7
797,9
798,8
799,7
800,7
801,6
802,6
803,8
804,8
805,6
806,8
807,7
808,5
809,7
810,7
811,6
812,5
813,3
814,5
815,7
816,7
817,8
818,6
819,9
820,6
821,5
822,5
823,7
824,8
825,7
826,8
827,3
828,6
829,6
830,8
831,6
832,6
833,7
834,3
835,7
836,7
837,6
838,4
839,8
840,5
841,7
842,7
843,7
844,6
845,7
846,8
847,4
848,6
849,8
850,8
851,4
852,9
853,8
854,8
855,8
856,7
857,7
858,6
859,6
860,6
861,7
862,8
863,8
864,5
866,8
867,8
868,8
869,5
870,5
871,4
872,8
873,6
874,10
875,8
876,7
877,9
878,6
879,4
880,7
881,8
882,8
883,7
884,8
885,7
886,7
887,5
888,6
889,8
890,7
891,8
892,7
893,7
894,7
895,6
896,8
897,8
898,7
899,8
900,4
901,7
902,7
903,7
904,9
905,8
906,8
907,7
908,6
909,5
910,8
911,9
912,5
913,4
914,9
915,8
916,6
917,6
918,4
919,7
920,7
921,7
922,6
923,6
924,6
925,7
926,9
927,6
928,5
929,7
930,6
931,8
932,6
933,8
934,8
935,8
937,8
938,8
939,8
940,7
941,7
942,6
943,6
944,5
945,4
946,6
947,7
948,8
949,7
950,5
951,7
952,6
953,6
954,8
955,9
956,7
957,7
958,7
959,7
960,8
961,7
962,6
963,3
964,4
965,8
966,6
967,7
968,8
969,5
970,7
971,9
972,8
973,8
974,8
975,7
976,5
977,7
978,8
979,5
980,9
981,9
982,6
983,7
984,8
985,5
986,8
987,7
988,6
989,8
990,5
991,7
992,7
993,7
994,6
995,8
996,7
997,9
998,6
999,7
1000,6
1001,6
1002,7
1003,7
1004,8
1005,8
1006,7
1007,7
1008,6
1009,6
1010,8
1011,3
1012,8
1013,6
1014,7
1015,8
1016,9
1017,7
1018,5
1019,9
1020,8
1021,7
1022,7
1023,9
1024,5
1025,9
1026,8
1027,7
1028,5
1029,8
1030,8
1031,8
1032,6
1033,9
1034,5
1035,7
1036,7
1037,4
1038,8
1039,8
1040,5
1041,7
1042,5
1043,7
1044,8
1045,9
1046,7
1047,6
1048,6
1049,7
1050,6
1051,4
1052,4
1053,5
1054,7
1055,7
1056,7
1057,8
1058,7
1059,7
1060,6
1061,8
1062,7
1063,5
1064,7
1065,8
1066,7
1067,7
1068,4
1069,8
1070,9
1071,7
1072,6
1073,7
1074,6
1075,8
1076,4
1077,8
1078,8
1079,5
1080,8
1081,6
1082,8
1083,6
1084,6
1085,5
1086,7
1087,6
1088,7
1089,3
1090,5
1091,6
1092,6
1093,7
1094,7
1095,8
1096,10
1097,6
1098,3
1099,8
1100,6
1101,6
1102,7
1103,8
1104,6
1105,7
1106,7
1107,4
1108,8
1109,8
1110,8
1111,7
1112,8
1113,6
1114,6
1115,7
1116,5
1117,7
1118,8
1119,4
1120,8
1121,8
1122,7
1123,6
1124,7
1125,8
1126,5
1127,6
1128,8
1129,7
1130,5
1131,7
1132,3
1133,9
1134,10
1135,7
1136,6
1137,5
1138,8
1139,8
1140,9
1141,8
1142,7
1143,5
1144,5
1145,7
1146,4
1147,8
1148,7
1149,6
1150,8
1151,7
1152,6
1153,8
1154,6
1155,7
1156,7
1157,7
1158,6
1159,7
1160,5
1161,7
1162,8
1163,6
1164,8
1165,10
1166,10
1167,8
1168,7
1169,8
1170,6
1171,8
1172,8
1173,8
1174,8
1175,8
1176,8
1177,7
1178,7
1179,8
1180,8
1181,7
1182,8
1183,4
1184,6
1185,3
1186,9
1187,10
1188,8
1189,8
1190,7
1191,8
1192,7
1193,7
1194,10
1195,8
1196,7
1197,8
1198,8
1199,5
1200,8
1201,4
1202,6
1203,5
1204,8
1205,6
1206,8
1207,8
1208,7
1209,7
1210,9
1211,8
1212,8
1213,8
1214,8
1215,8
1216,7
1217,8
1218,9
1219,6
1220,7
1221,8
1222,4
1223,3
1224,5
1225,6
1226,7
1227,7
1228,7
1229,8
1230,7
1231,8
1232,5
1233,5
1234,8
1235,8
1236,8
1237,8
1238,7
1239,5
1240,5
1241,9
1242,8
1243,7
1244,7
1245,7
1246,8
1247,7
1248,6
1249,6
1250,7
1251,7
1252,8
1253,8
1254,8
1255,4
1256,7
1257,6
1258,5
1259,6
1260,7
1261,8
1262,7
1263,7
1264,8
1265,9
1266,7
1267,8
1268,8
1269,7
1270,7
1271,9
1272,8
1273,2
1274,8
1275,8
1276,7
1277,9
1278,8
1279,3
1280,7
1281,5
1282,6
1283,7
1284,4
1285,8
1286,8
1287,7
1288,6
1289,5
1290,8
1291,6
1292,3
1293,6
1294,6
1295,8
1296,10
1297,6
1298,8
1299,4
1300,8
1301,8
1302,6
1303,7
1304,8
1305,9
1306,8
1307,7
1308,8
1309,8
1310,7
1311,7
1312,5
1313,8
1314,7
1316,3
1317,7
1318,6
1319,7
1320,7
1321,8
1322,5
1323,7
1325,9
1326,8
1327,7
1328,8
1329,8
1330,6
1331,9
1332,8
1333,10
1334,7
1335,6
1336,8
1337,9
1338,7
1339,7
1340,7
1341,8
1342,7
1343,7
1344,7
1345,5
1346,8
1347,8
1348,8
1349,9
1350,8
1351,7
1352,7
1353,5
1354,7
1355,9
1356,4
1357,8
1358,7
1359,5
1360,3
1361,7
1362,6
1363,7
1364,8
1365,7
1366,6
1367,8
1368,6
1369,8
1370,7
1371,7
1372,7
1373,4
1374,6
1375,6
1376,3
1377,8
1378,8
1379,5
1380,8
1381,8
1382,7
1383,7
1384,7
1385,8
1386,8
1387,8
1388,8
1389,7
1390,7
1391,7
1392,6
1393,4
1394,5
1395,8
1396,6
1397,8
1398,7
1399,7
1400,8
1401,8
1403,9
1404,7
1405,6
1406,6
1407,6
1408,4
1409,9
1410,9
1411,7
1412,9
1413,7
1414,5
1415,7
1416,6
1417,8
1418,8
1419,7
1420,6
1421,6
1422,7
1423,7
1424,7
1425,8
1426,8
1427,5
1428,9
1429,7
1430,9
1431,8
1432,7
1433,7
1434,7
1435,6
1436,7
1437,7
1438,6
1439,9
1440,4
1441,7
1442,6
1443,4
1444,2
1445,7
1446,7
1447,9
1448,8
1449,8
1450,5
1451,6
1452,4
1453,6
1454,8
1455,7
1456,6
1457,8
1458,5
1459,8
1460,8
1461,6
1462,4
1463,8
1464,7
1465,7
1466,5
1467,8
1468,7
1469,8
1470,7
1471,9
1472,9
1473,8
1474,7
1475,6
1476,7
1477,9
1478,7
1479,6
1480,7
1481,5
1482,7
1483,4
1484,7
1485,6
1486,8
1487,8
1488,7
1489,7
1490,9
1491,7
1492,8
1493,7
1494,8
1495,7
1496,9
1497,9
1498,8
1499,7
1500,6
1501,7
1502,4
1503,7
1504,5
1505,7
1506,8
1507,6
1508,6
1509,6
1510,8
1511,3
1512,5
1513,7
1514,8
1515,7
1516,3
1517,8
1518,6
1519,7
1520,7
1521,8
1522,7
1523,7
1524,7
1525,8
1526,7
1527,8
1528,7
1529,8
1530,3
1531,4
1532,7
1533,6
1534,7
1535,8
1536,6
1537,7
1538,5
1539,8
1540,8
1541,8
1542,6
1543,7
1544,6
1545,9
1546,7
1547,4
1548,8
1549,7
1550,3
1551,7
1552,5
1553,8
1554,6
1555,7
1556,4
1557,10
1558,8
1559,6
1560,7
1561,7
1562,7
1563,5
1564,8
1565,5
1566,8
1567,8
1568,7
1569,6
1570,5
1571,7
1572,8
1573,7
1574,7
1575,5
1576,8
1577,6
1578,6
1579,6
1580,8
1581,8
1582,6
1583,8
1584,6
1585,7
1586,6
1587,9
1588,6
1589,5
1590,7
1591,9
1592,6
1593,6
1594,7
1595,5
1596,8
1597,7
1598,8
1599,7
1600,7
1601,6
1602,7
1603,6
1604,8
1605,6
1606,7
1607,7
1608,8
1609,6
1610,7
1611,6
1612,8
1613,6
1614,5
1615,7
1616,8
1617,5
1619,8
1620,7
1621,9
1622,5
1623,7
1624,7
1625,6
1626,7
1627,7
1628,8
1629,6
1630,7
1631,8
1632,6
1633,8
1634,6
1635,4
1636,8
1637,7
1638,8
1639,7
1640,8
1641,7
1642,7
1643,7
1644,6
1645,7
1646,8
1647,9
1648,8
1649,7
1650,6
1651,8
1652,9
1653,6
1654,8
1655,8
1656,6
1657,6
1658,6
1659,8
1660,7
1661,8
1662,7
1663,7
1664,5
1665,7
1666,6
1667,7
1668,8
1669,8
1670,7
1671,4
1672,5
1673,9
1674,9
1675,6
1676,6
1677,7
1678,6
1679,8
1680,7
1681,5
1682,9
1684,6
1685,3
1686,7
1687,8
1688,9
1689,3
1690,7
1691,8
1692,6
1693,6
1694,7
1695,8
1696,7
1697,10
1698,7
1699,8
1700,7
1701,7
1702,9
1703,8
1704,6
1705,6
1706,8
1707,8
1708,9
1709,3
1710,7
1711,8
1712,8
1713,9
1714,8
1715,5
1716,7
1717,7
1718,8
1719,7
1720,7
1721,8
1722,8
1723,7
1724,8
1725,7
1727,8
1728,7
1729,7
1730,7
1731,9
1732,7
1733,6
1734,7
1735,6
1736,8
1737,8
1738,5
1739,8
1740,8
1741,8
1742,6
1743,7
1744,9
1745,7
1746,8
1747,8
1748,6
1749,6
1750,5
1751,6
1752,6
1753,7
1754,8
1755,6
1756,9
1757,7
1758,9
1759,8
1760,4
1761,6
1762,8
1763,8
1764,8
1765,7
1766,5
1767,8
1768,7
1769,7
1770,9
1771,8
1772,8
1773,7
1774,9
1775,9
1776,8
1777,7
1778,4
1779,5
1780,6
1781,7
1782,8
1783,8
1784,7
1785,6
1786,6
1787,7
1788,8
1789,6
1790,7
1791,6
1792,7
1793,6
1794,6
1795,8
1796,7
1797,7
1798,8
1799,7
1800,7
1801,8
1802,8
1803,7
1804,8
1805,7
1806,6
1807,8
1808,9
1809,6
1810,5
1811,5
1812,7
1813,9
1814,7
1815,8
1816,6
1817,8
1818,6
1819,8
1820,4
1821,6
1822,7
1823,8
1824,8
1825,9
1826,6
1827,8
1828,8
1829,6
1830,9
1831,5
1832,7
1833,7
1834,6
1835,9
1836,7
1837,7
1838,7
1839,6
1840,7
1841,8
1842,7
1843,7
1844,7
1845,8
1846,6
1847,7
1848,7
1849,5
1850,8
1851,8
1852,7
1853,8
1854,8
1855,7
1856,6
1857,6
1858,7
1859,7
1860,7
1861,7
1862,6
1863,8
1864,6
1865,7
1866,6
1867,9
1868,7
1869,2
1870,9
1871,7
1872,7
1873,8
1874,8
1875,8
1876,8
1877,8
1878,9
1879,9
1880,7
1881,8
1882,7
1883,6
1884,8
1885,8
1886,8
1887,7
1888,7
1889,7
1890,6
1891,6
1892,9
1893,7
1894,7
1895,4
1896,8
1897,8
1898,8
1899,6
1900,5
1901,9
1902,8
1903,8
1904,4
1905,8
1906,5
1907,8
1908,9
1909,8
1910,7
1911,7
1912,9
1913,8
1914,8
1915,5
1916,5
1917,7
1918,8
1919,7
1920,6
1921,5
1922,4
1923,9
1924,7
1925,5
1926,7
1927,4
1928,8
1929,7
1930,5
1931,8
1932,7
1933,7
1934,8
1935,6
1936,7
1937,5
1938,6
1939,7
1940,9
1941,8
1942,4
1943,6
1944,7
1945,8
1946,7
1947,8
1948,7
1949,7
1950,9
1951,5
1952,4
1953,9
1954,7
1955,5
1956,6
1957,9
1958,3
1959,7
1960,9
1961,7
1962,6
1963,4
1964,8
1965,8
1966,4
1967,9
1968,8
1969,7
1970,7
1971,9
1972,7
1973,6
1974,4
1975,6
1976,8
1977,8
1978,7
1979,7
1980,8
1981,9
1982,8
1983,6
1984,7
1985,4
1986,5
1987,6
1988,6
1989,8
1990,7
1991,6
1992,5
1993,8
1994,7
1995,8
1996,7
1997,7
1998,7
1999,6
2000,8
2001,4
2002,7
2003,7
2004,7
2005,8
2006,6
2007,8
2009,8
2010,7
2011,9
2012,4
2013,6
2014,7
2015,8
2016,4
2017,7
2018,9
2019,5
2020,7
2021,6
2022,7
2023,9
2024,7
2025,7
2026,7
2027,7
2028,7
2029,5
2030,7
2031,8
2032,6
2033,6
2034,7
2035,8
2036,10
2037,8
2038,5
2039,8
2040,6
2041,6
2042,6
2043,3
2044,6
2045,8
2046,7
2047,8
2048,8
2049,9
2050,8
2051,7
2052,7
2053,8
2054,6
2055,4
2056,7
2057,5
2058,7
2059,7
2060,9
2061,7
2062,8
2063,6
2064,7
2065,6
2066,9
2067,8
2068,8
2069,4
2070,8
2071,7
2072,8
2073,7
2074,6
2075,7
2076,8
2077,7
2078,8
2079,9
2080,5
2081,8
2082,8
2083,7
2084,8
2085,7
2086,8
2087,8
2088,7
2089,9
2090,8
2091,3
2092,8
2093,8
2094,8
2095,7
2096,7
2097,9
2098,8
2099,9
2100,7
2101,8
2102,9
2103,8
2104,7
2105,7
2106,8
2107,7
2108,7
2109,7
2110,8
2111,7
2112,7
2113,7
2114,8
2115,7
2116,6
2117,8
2118,5
2119,5
2120,7
2121,8
2122,8
2123,8
2124,7
2125,8
2126,6
2127,7
2128,6
2129,8
2130,8
2131,8
2132,8
2133,7
2134,6
2135,4
2136,8
2137,7
2138,5
2139,7
2140,7
2141,9
2142,9
2143,5
2144,8
2146,9
2147,7
2148,8
2149,8
2150,8
2151,8
2152,8
2153,9
2154,6
2155,7
2156,9
2157,7
2158,7
2159,6
2160,6
2161,7
2162,7
2163,7
2164,8
2165,8
2166,8
2167,7
2168,7
2169,5
2170,7
2171,6
2172,8
2173,6
2174,9
2175,8
2176,4
2177,4
2178,3
2179,6
2180,7
2181,6
2182,8
2183,8
2184,7
2185,8
2186,8
2187,8
2188,8
2189,7
2190,7
2191,8
2192,8
2193,9
2194,7
2195,9
2196,7
2197,8
2198,7
2199,9
2200,6
2201,7
2202,4
2203,8
2204,9
2205,3
2206,8
2207,6
2208,6
2209,7
2210,7
2211,6
2212,8
2213,7
2214,8
2215,7
2216,9
2217,4
2218,9
2219,10
2220,7
2221,8
2222,7
2223,6
2224,7
2225,7
2226,3
2227,8
2228,7
2229,9
2230,8
2231,8
2232,6
2233,5
2234,4
2235,7
2236,7
2238,7
2239,6
2240,5
2241,7
2242,7
2243,8
2244,4
2245,9
2246,8
2247,8
2248,9
2249,8
2250,9
2251,7
2252,6
2253,8
2254,10
2255,4
2256,8
2257,8
2258,8
2259,7
2260,5
2261,5
2263,6
2264,8
2265,8
2266,6
2267,1
2268,8
2269,7
2270,8
2271,7
2272,6
2273,8
2274,5
2275,8
2276,7
2277,8
2278,9
2279,7
2280,8
2281,8
2282,6
2283,9
2284,7
2285,8
2286,8
2287,7
2288,8
2289,9
2290,8
2291,4
2292,8
2293,9
2294,6
2295,9
2296,7
2297,6
2298,7
2299,6
2300,7
2301,6
2302,7
2303,8
2304,7
2305,7
2306,5
2307,8
2308,8
2309,7
2310,6
2311,6
2312,6
2313,8
2314,7
2315,7
2316,7
2317,6
2318,8
2319,7
2320,6
2322,6
2323,6
2324,9
2325,7
2326,7
2327,8
2328,3
2329,7
2330,6
2331,8
2332,7
2333,7
2334,7
2335,7
2336,4
2337,8
2338,6
2339,8
2340,5
2341,4
2342,7
2343,6
2344,7
2345,8
2346,8
2347,7
2348,9
2349,8
2350,7
2351,8
2352,6
2353,8
2354,7
2355,5
2356,7
2357,8
2358,6
2359,6
2360,6
2361,6
2362,8
2363,7
2364,8
2365,6
2366,6
2367,8
2368,8
2369,6
2370,5
2371,9
2372,6
2373,8
2374,7
2375,6
2376,6
2377,8
2378,6
2379,7
2380,8
2381,9
2382,8
2383,9
2384,7
2385,7
2386,5
2387,6
2388,8
2389,6
2390,8
2391,9
2392,7
2393,7
2394,7
2395,9
2396,7
2397,7
2398,8
2399,7
2400,5
2401,8
2402,8
2403,7
2404,9
2405,5
2406,4
2407,5
2408,8
2409,5
2410,9
2411,9
2412,7
2413,7
2414,7
2415,5
2416,6
2417,5
2418,5
2419,8
2420,7
2421,5
2422,8
2423,10
2424,8
2425,7
2426,8
2427,5
2428,6
2429,8
2430,6
2431,6
2432,5
2433,7
2434,7
2435,7
2436,5
2437,8
2438,7
2439,9
2440,8
2441,6
2442,7
2443,8
2444,8
2445,9
2446,7
2447,5
2448,6
2449,8
2450,7
2451,6
2452,6
2453,6
2454,8
2455,7
2456,7
2457,8
2458,7
2459,7
2460,8
2461,5
2462,8
2463,8
2464,6
2466,7
2467,5
2468,5
2469,9
2470,7
2471,8
2472,9
2473,6
2474,8
2475,9
2476,7
2477,7
2478,4
2479,7
2480,7
2481,8
2482,8
2483,6
2484,6
2485,8
2486,7
2487,6
2488,8
2489,7
2490,4
2491,8
2492,6
2493,8
2494,8
2495,7
2496,6
2497,8
2498,7
2499,8
2500,8
2501,7
2502,8
2503,6
2504,7
2505,9
2506,10
2507,8
2508,6
2509,6
2510,5
2511,8
2512,8
2513,7
2514,7
2515,6
2516,6
2517,8
2518,4
2519,9
2520,6
2521,6
2522,5
2523,8
2524,9
2525,8
2526,6
2527,8
2528,7
2529,7
2530,7
2531,6
2532,6
2533,7
2534,8
2535,7
2536,7
2537,8
2538,6
2539,8
2540,9
2541,7
2542,8
2543,6
2544,8
2545,6
2546,4
2547,6
2548,6
2549,8
2550,8
2551,8
2552,5
2553,8
2554,6
2555,7
2556,5
2557,9
2558,8
2559,7
2560,6
2561,4
2562,5
2563,6
2564,8
2565,7
2566,7
2567,10
2568,7
2569,8
2570,7
2571,7
2572,7
2573,7
2574,9
2575,8
2576,8
2577,7
2578,8
2579,8
2580,6
2581,8
2582,6
2583,7
2584,5
2585,7
2586,8
2587,9
2588,9
2589,5
2590,8
2591,8
2592,5
2593,7
2594,4
2595,8
2596,8
2597,8
2598,5
2599,8
2600,9
2601,8
2602,8
2603,8
2604,7
2605,6
2606,6
2607,6
2608,3
2609,6
2610,7
2611,7
2612,8
2613,5
2614,8
2615,4
2616,7
2617,8
2618,10
2619,8
2620,7
2621,8
2622,4
2623,9
2624,8
2625,3
2626,7
2627,6
2628,8
2629,6
2630,8
2631,8
2632,6
2633,7
2634,7
2635,2
2636,7
2637,4
2638,8
2639,7
2640,7
2641,5
2642,5
2643,6
2644,7
2645,6
2646,10
2647,8
2648,7
2649,7
2650,8
2651,9
2652,5
2653,4
2654,6
2655,6
2656,8
2657,7
2658,9
2659,7
2660,4
2661,9
2662,6
2663,7
2664,7
2665,7
2666,7
2667,7
2668,6
2669,6
2670,8
2671,6
2672,6
2673,6
2674,7
2675,8
2676,3
2677,5
2678,10
2679,8
2680,6
2681,8
2682,8
2683,7
2684,6
2685,8
2686,6
2687,8
2688,7
2689,2
2690,6
2691,10
2692,7
2693,8
2694,7
2695,6
2696,8
2697,8
2698,6
2699,8
2700,7
2701,8
2702,8
2703,6
2704,7
2705,7
2706,8
2707,8
2708,8
2709,7
2710,9
2711,7
2712,7
2713,10
2714,6
2715,6
2716,5
2717,5
2718,7
2719,7
2720,6
2721,6
2722,7
2723,9
2724,7
2725,5
2726,7
2727,5
2728,8
2729,9
2730,8
2731,7
2732,6
2733,5
2734,10
2735,7
2736,7
2737,8
2738,2
2739,6
2740,7
2741,7
2742,8
2743,9
2744,8
2745,8
2746,4
2747,7
2748,6
2749,8
2750,7
2751,8
2752,6
2753,7
2754,7
2755,7
2756,6
2757,8
2758,8
2759,6
2760,7
2761,4
2762,8
2763,8
2764,5
2765,8
2766,5
2767,7
2768,6
2769,7
2770,9
2771,8
2772,7
2773,6
2774,6
2775,6
2776,6
2777,6
2778,7
2779,7
2780,4
2781,9
2782,7
2783,5
2784,7
2785,5
2786,8
2787,6
2788,8
2789,6
2790,5
2791,7
2792,8
2793,6
2794,6
2795,6
2796,7
2797,8
2798,8
2799,6
2800,7
2801,6
2802,8
2803,7
2804,7
2805,8
2806,7
2807,8
2808,8
2809,8
2810,8
2811,5
2812,8
2813,6
2814,8
2815,7
2816,5
2817,6
2818,8
2819,8
2820,7
2821,6
2822,7
2823,8
2824,7
2825,7
2826,5
2827,6
2828,6
2829,7
2830,7
2831,8
2832,8
2833,4
2834,6
2835,8
2836,8
2837,8
2838,9
2839,6
2840,7
2841,8
2842,8
2843,7
2844,6
2845,7
2846,3
2847,7
2848,8
2849,7
2850,7
2851,4
2852,6
2853,7
2854,8
2855,8
2856,8
2857,9
2858,7
2859,7
2860,8
2861,4
2862,7
2863,8
2864,9
2865,10
2866,4
2867,8
2868,7
2869,7
2870,8
2871,7
2872,7
2873,7
2874,7
2875,6
2876,6
2877,7
2878,4
2879,7
2880,7
2881,8
2882,4
2883,3
2884,6
2885,7
2886,7
2887,7
2888,4
2889,7
2890,5
2891,5
2892,8
2893,8
2894,7
2895,8
2896,6
2897,7
2898,9
2899,10
2900,9
2901,7
2902,6
2903,7
2904,8
2905,6
2906,9
2907,6
2908,7
2909,7
2910,8
2911,7
2912,3
2913,4
2914,8
2915,8
2916,6
2917,7
2918,7
2919,6
2920,6
2921,7
2922,7
2923,7
2924,8
2925,8
2926,7
2927,7
2928,8
2929,9
2930,5
2931,8
2932,9
2933,6
2934,6
2935,7
2936,9
2937,5
2938,6
2939,7
2940,5
2941,9
2942,8
2943,6
2944,5
2945,7
2946,7
2947,7
2948,9
2949,6
2950,7
2951,8
2952,8
2953,7
2954,3
2955,5
2956,7
2957,8
2958,7
2959,6
2960,5
2961,8
2962,5
2963,7
2964,7
2965,6
2966,5
2967,6
2968,8
2969,6
2970,8
2971,8
2972,7
2973,3
2974,8
2975,8
2976,3
2977,7
2978,4
2979,6
2980,6
2981,5
2982,7
2983,8
2984,8
2985,6
2986,6
2987,7
2988,5
2989,2
2990,7
2991,7
2992,7
2993,7
2994,4
2995,6
2996,7
2997,8
2998,8
2999,6
3000,7
3001,7
3002,8
3003,8
3004,6
3005,8
3006,6
3007,6
3008,8
3009,6
3010,8
3011,8
3012,5
3013,7
3014,7
